problem type,template id,text,information,label
Transportation Problem,9,"A toy retailer needs to determine the optimal delivery for three popular toys, T1, T2, and T3, across three stores, S1, S2, and S3, to minimize their overall distribution costs while meeting demand. The demand for each toy is d_1, d_2, d_3. The goal is to determine how many units of each toy to ship to each store to minimize the total distribution costs while satisfying the demand. The decision variables x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 represent the units of toys T1, T2, and T3 shipped to stores S1, S2, and S3. For example, x_12 denotes the units of toy T2 shipped to store S1.","Demand information: d_1 = 70, d_2 = 90, d_3 = 80
Distribution cost information: t_11 = 9, t_12 = 11, t_13 = 13, t_21 = 10, t_22 = 12, t_23 = 14, t_31 = 11, t_32 = 13, t_33 = 15",min 9 11 13 10 12 14 11 13 15; 1 1 1 0 0 0 0 0 0 >= 70; 0 0 0 1 1 1 0 0 0 >= 90; 0 0 0 0 0 0 1 1 1 >= 80; Z+ Z+ Z+ Z+ Z+ Z+
Transportation Problem,10,"A sporting goods retailer needs to determine the optimal delivery for three types of sporting goods, S1, S2, and S3, across three stores, T1, T2, and T3, to minimize their overall distribution costs while meeting demand. The demand for each item is d_1, d_2, d_3. The goal is to determine how many units of each sporting good to ship to each store to minimize the total distribution costs while satisfying the demand. The decision variables x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 represent the units of sporting goods S1, S2, and S3 shipped to stores T1, T2, and T3. For example, x_12 denotes the units of sporting good S2 shipped to store T1.","Demand information: d_1 = 110, d_2 = 140, d_3 = 120
Distribution cost information: t_11 = 7, t_12 = 9, t_13 = 11, t_21 = 8, t_22 = 10, t_23 = 12, t_31 = 9, t_32 = 11, t_33 = 13",min 7 9 11 8 10 12 9 11 13; 1 1 1 0 0 0 0 0 0 >= 110; 0 0 0 1 1 1 0 0 0 >= 140; 0 0 0 0 0 0 1 1 1 >= 120; Z+ Z+ Z+ Z+ Z+ Z+ 
transportation problem,9,"In a seaside town, three beverage plants (D1, D2, and D3) can supply up top_1,p_2, andp_3bottles of beverages per day, respectively. They need to supply these beverages to two bars (B1 and B2), which required_1andd_2bottles of beverages per day, respectively. The transportation costs per bottle are as follows: from D1 to B1 ist_11dollars, to B2 ist_12dollars; from D2 to B1 ist_21dollars, to B2 ist_22dollars; from D3 to B1 ist_31dollars, to B2 ist_32dollars. The beverage plants need to devise a transportation plan to minimize the total cost of transporting beverages to the bars while meeting their demands. Lety_11andy_12represent the bottles of beverages transported from beverage plant D1 to bars B1 and B2, respectively. Lety_21andy_22represent the bottles of beverages transported from beverage plant D2 to bars B1 and B2, respectively. Lety_31andy_32represent the bottles of beverages transported from beverage plant D3 to bars B1 and B2, respectively.","Production capacity: p_1 = 45, p_2 = 370, p_3 = 280; Demand: d_1 = 500, d_2 = 120; Transportation costs: t_11 = 4, t_12 = 7; t_21 = 5, t_22 = 6; t_31 = 9, t_32 = 3 ","min 4, 7, 5, 6, 9, 3; 1 1 0 0 0 0 <= 45; 0 0 1 1 0 0 <= 370; 0 0 0 0 1 1 <= 280; 1 0 1 0 1 0 = 500; 0 1 0 1 0 1 = 120; Z+ Z+ Z+ Z+ Z+ Z+"
transportation problem,10,"In a healthcare center, three suppliers (S1, S2, and S3) can supply up top_1,p_2, andp_3sets of medical equipment per day, respectively. They need to supply these equipment sets to two hospitals (H1 and H2), which required_1andd_2sets of equipment per day, respectively. The transportation costs per set are as follows: from S1 to H1 ist_11dollars, to H2 ist_12dollars; from S2 to H1 ist_21dollars, to H2 ist_22dollars; from S3 to H1 ist_31dollars, to H2 ist_32dollars. The suppliers need to devise a transportation plan to minimize the total cost of transporting equipment to the hospitals while meeting their demands. Letz_11andz_12represent the sets of equipment transported from supplier S1 to hospitals H1 and H2, respectively. Letz_21andz_22represent the sets of equipment transported from supplier S2 to hospitals H1 and H2, respectively. Letz_31andz_32represent the sets of equipment transported from supplier S3 to hospitals H1 and H2, respectively. These variables all must be positive integers.","Supply capacity: p_1 = 90, p_2 = 460, p_3 = 320; Demand: d_1 = 600, d_2 = 250; Transportation costs: t_11 = 22, t_12 = 18; t_21 = 20, t_22 = 24; t_31 = 25, t_32 = 15","min 22, 18, 20, 24, 25, 15; 1 1 0 0 0 0 <= 90; 0 0 1 1 0 0 <= 460; 0 0 0 0 1 1 <= 320; 1 0 1 0 1 0 = 600; 0 1 0 1 0 1 = 250; Z+ Z+ Z+ Z+ Z+ Z+"
transportation problem,1,"Xiao Wang runs a bakery with two workshops (W1 and W2) that can produce no more than p_1 and p_2 loaves of bread per day, respectively. He needs to distribute these loaves to three residential areas (A, B, and C) requiring d_1, d_2, and d_3 loaves, respectively. The transportation costs from the workshops to the residential areas are as follows: from W1 to A is t_11 dollars, to B is t_12 dollars, and to C is t_13 dollars; from W2 to A is t_21 dollars, to B is t_22 dollars, and to C is t_23 dollars. Xiao Wang wants to devise a transportation plan that meets the demands of each residential area, does not exceed the capacity of the workshops, and minimizes the total transportation cost. x_11 ,x_12,x_13 represent the number of breads transported from bakery W1 to residential areas A, B, and C, respectively. x_21, x_22, x_23 represent the number of breads transported from bakery W2 to residential areas A, B, and C, respectively. All decision variables are positive integer numbers.","produce information: p_1 = 187, p_2 = 522; demand information = d_1 = 982, d_2 = 606, d_3 = 952; transportation costs: t_11 = 818, t_12 = 767, t_13 = 359; t_21 = 435, t_22 = 335, t_23 = 897",min 818 767 359 435 335 897; 1 1 1 0 0 0 <= 187; 0 0 0 1 1 1 <= 522; 1 0 0 1 0 0 = 982; 0 1 0 0 1 0 = 606; 0 0 1 0 0 1 = 952; Z+ Z+ Z+ Z+ Z+ Z+
transportation problem,2,"On an island, there are two fishing grounds (F1 and F2) that catch no more than p_1 and p_2 kilograms of seafood per day, respectively. These seafood items need to be transported to three restaurants (H1, H2, and H3) with daily demands of d_1, d_2, and d_3 kilograms, respectively. The transportation costs from the fishing grounds to the restaurants (per kilogram) are as follows: from F1 to H1 is t_11 dollars, to H2 is t_12 dollars, to H3 is t_13 dollars; from F2 to H1 is t_21 dollars, to H2 is t_22 dollars, to H3 is t_23 dollars. The fishing grounds need to devise a reasonable transportation plan to minimize the total cost of transporting seafood to the restaurants without exceeding the catch capacity of each fishing ground. x_11, x_12, x_13 represent the kilograms of seafood transported from fishing ground F1 to restaurants H1, H2, and H3, respectively. x_21, x_22, x_23 represent the kilograms of seafood transported from fishing ground F2 to restaurants H1, H2, and H3, respectively. All variables are positive real numbers.","Catch capacity: p_1 = 298, p_2 = 878; Demand: d_1 = 204, d_2 = 143, d_3 = 9; Transportation costs: t_11 = 43, t_12 = 867, t_13 = 271; t_21 = 257, t_22 = 332, t_23 = 651 ",min 43 867 271 257 332 651; 1 1 1 0 0 0 <= 298; 0 0 0 1 1 1 <= 878; 1 0 0 1 0 0 = 204; 0 1 0 0 1 0 = 143; 0 0 1 0 0 1 = 9; R+ R+ R+ R+ R+ R+
transshipment problem with transshipment points,9,"Company XYZ has to get fresh groceries from two storage facilities (supply points: S1, S2) to grocery stores (demand points: G1, G2), and they__e using a couple of cool distribution hubs (transshipment points: H1, H2) to make it happen. S1 is all set to send out up to p_1 units of fresh goods every day. S2 can push out up to p_2 units daily. G1 is pretty hungry, needing at least d_1 units daily. G2 is a bit more chill, requiring just d_2 units. No worries on how much the hubs can handle; they__e got unlimited capacity. Now, about those costs: Getting goods from S1 to H1 costs t_11 dollars, and to H2 costs t_12 dollars. From S2 to H1 it__ t_21 dollars, and to H2 it__ t_22 dollars. And from the hubs to the stores: From H1 to G1 it__ gonna cost you t_31 dollars, to G2 it__ t_32 dollars. From H2 to G1 it__ a better deal at t_41 dollars, and to G2 it__ just t_42 dollars. Let x_11 and x_12 represent the units moved from S1 to H1 and H2, respectively. For S2, it__ x_21 and x_22 to H1 and H2. Then, we__l track y_11 and y_12 for the goods that make it from H1 to G1 and G2. Lastly, y_21 and y_22 will tell us about the flow from H2 to G1 and G2. Variables are all positive integers.","Supply capacity: p_1 = 165, p_2 = 280; Demand: d_1 = 770, d_2 = 160; Transportation costs: t_11 = 180, t_12 = 75; t_21 = 170, t_22 = 455; t_31 = 920, t_32 = 680; t_41 = 485, t_42 = 65.",min 180 75 170 455 920 680 485 65; 1 1 0 0 0 0 0 0 <= 300; 0 0 1 1 0 0 0 0 <= 450; 0 0 0 0 1 0 1 0 = 800; 0 0 0 0 0 1 0 1 = 250; 1 0 1 0 -1 -1 0 0 = 0; 0 1 0 1 0 0 -1 -1 = 0; Z+ Z+ Z+ Z+ Z+ Z+ Z+ Z+
transshipment problem with transshipment points,10,"A book distributor needs to shuffle a bunch of books from two warehouses (supply points: W1, W2) to libraries (demand points: L1, L2), using a pair of sorting centers (transshipment points: C1, C2). W1 has a stash of up to p_1 books per day it can send out. W2 can send out up to p_2 books daily. Library L1 needs a solid d_1 books daily. L2 requires d_2 books daily. Storage at the sorting centers has no cap. Transportation costs: From W1 to C1 is t_11 dollars, to C2 is t_12 dollars. From W2 to C1 is t_21 dollars, and to C2 it__ t_22 dollars. From the centers to the libraries: From C1 to L1, it__l cost t_31 dollars, to L2 it__ t_32 dollars. From C2 to L1, it__ t_41 dollars, to L2 it__ t_42 dollars. The strategy here is all about minimizing transportation spend while making sure those libraries get their books on time. We__l use x_11 and x_12 to track shipments from W1 to C1 and C2, and x_21 and x_22 for shipments from W2. For the books going out to the libraries, y_11 and y_12 will handle the flow from C1 to L1 and L2, and y_21 and y_22 from C2. Variables are all positive integers.","Supply capacity: p_1 = 190, p_2 = 320; Demand: d_1 = 690, d_2 = 130; Transportation costs: t_11 = 135, t_12 = 90; t_21 = 155, t_22 = 490; t_31 = 870, t_32 = 630; t_41 = 390, t_42 = 55.",min 135 90 155 490 870 630 390 55; 1 1 0 0 0 0 0 0 <= 190; 0 0 1 1 0 0 0 0 <= 320; 0 0 0 0 1 0 1 0 = 690; 0 0 0 0 0 1 0 1 = 130; 1 0 1 0 -1 -1 0 0 = 0; 0 1 0 1 0 0 -1 -1 = 0; Z+ Z+ Z+ Z+ Z+ Z+ Z+ Z+
transshipment problem with transshipment points,1,"A logistics company is responsible for transporting a certain product from two factories (supply points: F1, F2) to two retailers (demand points: R1, R2). It can also utilize two warehouses (transshipment points: T1, T2) for transfer. F1 can supply up to p_1 units of the product per day, and F2 can supply up to p_2 units per day. R1 requires at least d_1 units per day, and R2 requires at least d_2 units per day. There are no storage capacity limitations at the transshipment points. The transportation costs are as follows: from factory F1 to transshipment point T1 is t_11 dollars, to T2 is t_12 dollars; from factory F2 to transshipment point T1 is t_21 dollars, to T2 is t_22 dollars. From transshipment point T1 to retailer R1, the transportation cost is t_31 dollars, to R2 is t_32 dollars. From transshipment point T2 to retailer R1, the cost is t_41 dollars, to R2 is t_42 dollars. The goal is to minimize the total transportation cost while meeting the demands of all retailers and not exceeding the supply capacity of the factories. Let x_11 and x_12 represent the units transported from factory F1 to transshipment points T1 and T2, respectively. Let x_21 and x_22 represent the units transported from factory F2 to transshipment points T1 and T2, respectively. Let y_11 and y_12 represent the units transported from transshipment point T1 to retailers R1 and R2, respectively. Let y_21 and y_22 represent the units transported from transshipment point T2 to retailers R1 and R2, respectively. All decision variables are positive real numbers.","Supply capacity:p_1= 265,p_2= 359; Demand:d_1= 842,d_2= 116; Transportation costs:t_11= 160,t_12= 6;t_21= 118,t_22= 503;t_31= 987,t_32= 826;t_41= 555,t_42= 19.",min 160 6 118 503 987 826 555 19; 1 1 0 0 0 0 0 0 <= 265; 0 0 1 1 0 0 0 0 <= 359; 0 0 0 0 1 0 1 0 = 842; 0 0 0 0 0 1 0 1 = 116; 1 0 1 0 -1 -1 0 0 = 0; 0 1 0 1 0 0 -1 -1 = 0; R+ R+ R+ R+ R+ R+ R+ R+
transshipment problem with transshipment points,2,"A food distribution company is responsible for delivering fresh vegetables and fruits from two farms (supply points: F1, F2) to two supermarkets (demand points: R1, R2), and it can use two distribution centers (transshipment points: T1, T2) for transfer. F1 can supply up to p_1 units of products per day. F2 can supply up to p_2 units per day. R1 requires at least d_1 units of products per day. R2 requires at least d_2 units per day. There are no capacity limitations at the transshipment points. Transportation cost information is as follows: The cost from F1 to T1 is t_11 dollars, and to T2 is t_12 dollars. The cost from F2 to T1 is t_21 dollars, and to T2 is t_22 dollars. Transportation costs from the transshipment points to the retailers: From T1 to R1, the cost is t_31 dollars, and to R2 is t_32 dollars. From T2 to R1, the cost is t_41 dollars, and to R2 is t_42 dollars. The goal is to minimize the total transportation cost while meeting the demands of all retailers and not exceeding the supply capacity of the farms. Let x_11 and x_12 represent the units transported from farm F1 to transshipment points T1 and T2, respectively, and x_21 and x_22 represent the units transported from farm F2 to transshipment points T1 and T2, respectively. Let y_11 and y_12 represent the units transported from transshipment point T1 to retailers R1 and R2, respectively, and y_21 and y_22 represent the units transported from transshipment point T2 to retailers R1 and R2, respectively. All variables must be positive integers.","Supply capacity: p_1 = 180, p_2 = 270; Demand: d_1 = 420, d_2 = 230; Transportation costs: t_11 = 120, t_12 = 45; t_21 = 95, t_22 = 310; t_31 = 650, t_32 = 480; t_41 = 290, t_42 = 50.",min 120 45 95 310 650 480 290 50; 1 1 0 0 0 0 0 0 <= 180; 0 0 1 1 0 0 0 0 <= 270; 0 0 0 0 1 0 1 0 = 420; 0 0 0 0 0 1 0 1 = 230; 1 0 1 0 -1 -1 0 0 = 0; 0 1 0 1 0 0 -1 -1 = 0; Z+ Z+ Z+ Z+ Z+ Z+ Z+ Z+
transshipment problem with supply and demand in each node,1,"There are two suppliers (S1, S2) and two demanders (D1, D2). Suppliers can transfer products to each other, as can the demanders. The objective is to determine the transport quantity for each route in order to minimize the total transport costs, while meeting the demands of each demander and not exceeding the supply capacity of each supplier. The supply capacities of suppliers S1 and S2 are p_1 and p_2 units, respectively. The demand quantities for demanders D1 and D2 are d_1 and d_2 units, respectively. The transport costs (in $/unit) are as follows: The transport cost from supplier S1 to S2 is t_11 dollars, to demander D1 is t_12 dollars, and to D2 is t_13 dollars. The transport cost from supplier S2 to S1 is t_21 dollars, to demander D1 is t_22 dollars, and to D2 is t_23 dollars. The transport cost from demander D1 to S1 is t_31 dollars, to S2 is t_32 dollars, and to D2 is t_33 dollars. The transport cost from demander D2 to S1 is t_41 dollars, to S2 is t_42 dollars, and to D1 is t_43 dollars. Let x_11, x_12, x_13 represent the units transported from supplier S1 to supplier S2, to demander D1, and to demander D2, respectively. Let x_21, x_22, x_23 represent the units transported from supplier S2 to supplier S1, to demander D1, and to demander D2, respectively. Let x_31, x_32, x_33 represent the units transported from demander D1 to supplier S1, to supplier S2, and to demander D2, respectively. Let x_41, x_42, x_43 represent the units transported from demander D2 to supplier S1, to supplier S2, and to demander D1, respectively. These variables are all positive real numbers.","Supply capacity: p_1 = 495, p_2 = 415; Demand: d_1 = 419, d_2 = 465; Transportation costs: t_11 = 867, t_12 = 423, t_13 = 214; t_21 = 372, t_22 = 65, t_23 = 465; t_31 = 625, t_32 = 499, t_33 = 854; t_41 = 968, t_42 = 914, t_43 = 308.",min 867 423 214 372 65 465 625 499 854 968 914 308; 1 1 1 -1 0 0 -1 0 0 -1 0 0 <= 495; -1 0 0 1 1 1 0 -1 0 0 -1 0 <= 415; 0 1 0 0 1 0 -1 -1 -1 0 0 1 = 419; 0 0 1 0 0 1 0 0 1 -1 -1 -1 = 465; R+ R+ R+ R+ R+ R+ R+ R+ R+ R+ R+ R+
transshipment problem with supply and demand in each node,2,"There are two manufacturers (M1, M2) and two distributors (D1, D2). Manufacturers can transfer parts to each other, as can the distributors. The goal is to determine the transport quantity for each route to minimize the total transport costs, while meeting the demands of each distributor and not exceeding the production capacity of each manufacturer. The production capacities of M1 and M2 are p_1 and p_2 units, respectively. The demand quantities for distributors D1 and D2 are d_1 and d_2 units, respectively. The transport costs (in $/unit) are as follows: The transport cost from M1 to M2 is t_11 dollars, to D1 is t_12 dollars, and to D2 is t_13 dollars. The transport cost from M2 to M1 is t_21 dollars, to D1 is t_22 dollars, and to D2 is t_23 dollars. The transport cost from D1 to M1 is t_31 dollars, to M2 is t_32 dollars, and to D2 is t_33 dollars. The transport cost from D2 to M1 is t_41 dollars, to M2 is t_42 dollars, and to D1 is t_43 dollars. Let x_11, x_12, x_13 represent the units transported from M1 to M2, to D1, and to D2, respectively. Let x_21, x_22, x_23 represent the units transported from M2 to M1, to D1, and to D2, respectively. Let x_31, x_32, x_33 represent the units transported from D1 to M1, to M2, and to D2, respectively. Let x_41, x_42, x_43 represent the units transported from D2 to M1, to M2, and to D1, respectively. Variables are positive integers.","Production capacity: p_1 = 300, p_2 = 400; Demand: d_1 = 350, d_2 = 320; Transportation costs: t_11 = 100, t_12 = 150, t_13 = 200; t_21 = 110, t_22 = 160, t_23 = 210; t_31 = 120, t_32 = 170, t_33 = 220; t_41 = 130, t_42 = 180, t_43 = 230.",min 100 150 200 110 160 210 120 170 220 130 180 230; 1 1 1-1 0 0 -1 0 0 -1 0 0 <=300; -1 0 0 1 1 1 0 -1 0 0 -1 0 <= 400; 0 1 0 0 1 0 -1 -1 -1 0 0 1 = 350; 0 0 1 0 0 1 0 0 1 -1 -1 -1 = 320; Z+ Z+ Z+ Z+ Z+ Z+ Z+ Z+ Z+ Z+ Z+ Z+
